dbn,school_name,school_type,n_test_takers,reading,math,writing,parent_response_rate,teacher_response_rate,student_response_rate,academic_expectations,communication,engagement,safety_and_respect,SAT_score,total_satisfaction
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",HS,66,396,398,402,68,93,79,7.8,7.8,7.4,7.4,1196,7.6
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,HS,75,433,433,411,31,68,69,7.4,7.3,7.1,7.3,1277,7.2749999999999995
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,HST,35,401,369,351,12,93,46,8.3,7.8,8,8.3,1121,8.100000000000001
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,HS,111,473,506,467,30,93,87,8.6,8.5,8.2,8.7,1446,8.5
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,MS/HS,43,356,379,361,20,86,80,7.4,7.7,6.9,7.1,1096,7.275
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,HS,48,354,357,373,16,93,73,7.9,7.9,7.5,7.9,1084,7.800000000000001
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,HS,375,461,514,455,43,91,90,7.9,7.4,7.4,7.7,1430,7.6000000000000005
04M495,PARK EAST HIGH SCHOOL,HS,51,373,379,376,81,100,90,8.3,8,7.7,8.3,1128,8.075
04M555,CENTRAL PARK EAST HIGH SCHOOL,HS,73,405,421,395,20,100,92,8.5,8.3,7.9,8.4,1221,8.275
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,MS/HS,70,432,446,448,63,100,93,8.8,8.6,8.2,8.7,1326,8.575
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,HS,48,369,369,357,87,100,94,8,8.1,7.4,7.9,1095,7.85
04M680,"HERITAGE SCHOOL, THE",HS,31,358,351,345,68,100,91,7.3,7.2,6.6,7,1054,7.025
05M285,HARLEM RENAISSANCE HIGH SCHOOL,HST,29,357,318,333,21,100,69,8.5,8.4,8,8.2,1008,8.274999999999999
05M304,MOTT HALL HIGH SCHOOL,HS,54,413,399,398,82,100,97,7.7,7.5,7.2,7.3,1210,7.425
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,MS/HS,33,354,366,342,18,63,50,7,6.6,6.3,6.1,1062,6.5
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,HS,56,360,353,364,15,72,52,7.6,7.5,6.9,7.4,1077,7.35
05M469,CHOIR ACADEMY OF HARLEM,MS/HS,20,354,360,385,27,96,81,6.9,7.1,6.5,6.2,1099,6.675
05M499,FREDERICK DOUGLASS ACADEMY,MS/HS,214,458,474,442,8,52,77,7.9,7.8,7.5,7.3,1374,7.625
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,MS/HS,66,396,402,404,33,71,70,7.9,7.8,7.6,7.6,1202,7.725
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,HS,61,369,361,355,27,89,79,7.4,7.4,7.1,7,1085,7.225
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",HS,101,605,654,588,36,91,84,8.8,8.5,8.1,8.8,1847,8.55
06M293,CITY COLLEGE ACADEMY OF THE ARTS,MS/HS,60,408,446,416,44,66,90,8.7,8.6,8.2,8.6,1270,8.524999999999999
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,MS/HS,55,362,376,367,68,91,88,8.7,8.6,8.2,8.7,1105,8.549999999999999
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,MS/HS,70,380,395,399,49,83,90,8.6,8.5,7.9,8.6,1174,8.4
06M457,GEORGE WASHINGTON YABC,YABC,7,394,357,346,23,50,78,9.1,9,8.8,8.6,1097,8.875
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,HS,76,365,384,378,52,97,78,8.1,8.2,7.8,7.9,1127,8
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,HS,63,369,380,349,45,83,72,7.8,7.7,7.5,7.7,1098,7.675
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,HS,94,363,378,361,41,86,72,8.2,8.2,7.8,7.7,1102,7.975
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,HS,24,400,422,402,42,100,84,7.8,7.9,7.5,7.4,1224,7.65
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,HS,228,430,456,423,15,94,25,8.6,8.6,8.3,8.2,1309,8.425
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,HS,56,339,349,326,51,74,94,8.5,8.4,8.3,8.7,1014,8.475
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,MS/HS,65,364,378,348,69,80,97,8,7.7,7.4,7.5,1090,7.65
07X321,CROTONA ACADEMY HIGH SCHOOL,HST,9,379,364,382,50,91,82,9.2,9.1,9,9,1125,9.075
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,HS,34,310,324,311,46,96,88,7.9,7.8,7.6,8,945,7.824999999999999
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,HS,43,361,359,357,46,100,93,8.7,8.8,8.4,8.6,1077,8.625
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,HS,63,351,375,371,31,100,84,7.9,7.3,7.4,7.8,1097,7.6000000000000005
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,HS,79,403,394,404,63,90,84,8.4,8.2,8.2,8.6,1201,8.35
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,MS/HS,66,420,426,411,14,69,88,7.4,7.2,6.9,7.5,1257,7.25
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,HS,64,399,396,391,33,90,89,7.8,7.9,7.1,7.5,1186,7.574999999999999
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,HS,62,362,378,363,26,69,60,8,7.8,7.4,7.7,1103,7.7250000000000005
07X547,NEW EXPLORERS HIGH SCHOOL,HS,28,367,356,361,23,81,57,8.2,8.2,7.8,7.6,1084,7.949999999999999
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,HS,44,387,411,383,24,100,77,8.4,8.6,8.1,8.1,1181,8.3
07X551,BRONX ACADEMY OF LETTERS,MS/HS,51,413,381,407,39,96,87,7.4,7.6,6.7,6.9,1201,7.15
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,HS,76,394,400,364,42,72,87,7.6,7.6,7.2,7.4,1158,7.449999999999999
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,HS,47,398,416,370,15,71,54,6.8,6.7,6.5,6.8,1184,6.7
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,HS,114,363,368,364,84,100,72,7.9,8,7.7,7.4,1095,7.75
08X282,WOMEN'S ACADEMY OF EXCELLENCE,HS,44,407,386,378,13,68,87,6.3,6.2,5.6,5.8,1171,5.9750000000000005
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,HS,52,384,385,389,21,88,86,8.5,8.3,8,7.9,1158,8.175
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,HS,41,416,390,394,30,73,67,7.3,7.1,6.7,7.2,1200,7.074999999999999
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,HS,67,337,361,340,44,97,86,7.9,8,7.6,7.5,1038,7.75
08X312,MILLENNIUM ART ACADEMY,HS,67,387,402,375,21,85,71,8,8,7.5,7.6,1164,7.775
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,HS,39,363,371,350,78,92,74,7.5,7.4,7.1,7.4,1084,7.35
08X377,BRONX COMMUNITY HIGH SCHOOL,HST,9,367,369,376,15,76,54,8.9,8.6,8.3,8.6,1112,8.6
08X405,HERBERT H. LEHMAN HIGH SCHOOL,HS,415,412,436,393,12,74,71,7.3,7.1,6.9,6.5,1241,6.949999999999999
08X408,HERBERT H. LEHMAN YABC,YABC,6,402,373,413,90,100,79,8.7,8.7,8.4,8.1,1188,8.475
08X452,BRONX GUILD,HS,39,369,371,365,35,100,91,7.9,8.1,7.6,7.7,1105,7.825
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",HS,68,373,370,356,28,92,67,8,8,7.5,7.8,1099,7.825
08X530,BANANA KELLY HIGH SCHOOL,HS,54,373,381,377,60,65,82,7.6,7.4,7.3,7.1,1131,7.35
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,HS,16,366,400,368,23,86,64,7.4,7.4,6.7,7.2,1134,7.175
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,HST,9,404,368,399,13,100,92,9.3,9.4,9.2,9.4,1171,9.325000000000001
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,HS,78,377,359,376,6,58,60,8.1,8.1,7.6,7.6,1112,7.85
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,HS,39,324,376,349,42,97,80,9,8.9,8.6,8.5,1049,8.75
09X231,EAGLE ACADEMY FOR YOUNG MEN,MS/HS,78,373,387,374,37,69,90,8,8,7.7,7.5,1134,7.8
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",HS,33,372,355,357,25,67,72,8.5,8.6,8.2,8,1084,8.325
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",MS/HS,80,411,464,415,58,98,75,7.9,7.9,7.5,7.8,1290,7.775
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,HS,50,393,394,382,57,100,92,8.4,8.2,7.8,8.1,1169,8.125
09X252,MOTT HALL BRONX HIGH SCHOOL,HS,67,369,367,356,13,87,71,8,8,7.4,7.8,1092,7.8
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,HS,81,459,480,457,61,84,97,8.7,8.4,7.9,8.4,1396,8.35
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,HS,74,356,363,356,26,50,61,7.9,7.6,7.7,7.7,1075,7.725
09X276,LEADERSHIP INSTITUTE,HS,30,361,353,367,58,73,61,8.3,8.1,7.9,7.7,1081,7.999999999999999
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,HS,38,386,386,376,28,83,91,7.8,8,7.4,7.7,1148,7.7250000000000005
09X329,DREAMYARD PREPARATORY SCHOOL,HS,51,382,365,391,37,100,87,8.3,8.4,7.9,7.8,1138,8.1
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,HS,54,315,339,297,49,100,92,8.4,7.7,7.5,8.3,951,7.9750000000000005
09X403,BRONX INTERNATIONAL HIGH SCHOOL,HS,49,314,312,339,36,84,95,8.5,8.2,8,8.1,965,8.2
09X404,SCHOOL FOR EXCELLENCE,HS,32,363,360,351,90,94,87,7.6,7.5,7.1,7.2,1074,7.35
09X412,BRONX HIGH SCHOOL OF BUSINESS,HS,34,356,376,351,5,100,91,7.5,7.4,6.9,7.1,1083,7.225
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,MS/HS,64,400,419,402,36,100,89,8,8,7.5,7.7,1221,7.8
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,HS,35,379,364,379,7,55,65,7.9,7.7,7.2,7.6,1122,7.6
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",MS/HS,80,404,418,402,44,91,87,7.5,7.4,6.7,7.4,1224,7.25
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,MS/HS,50,368,384,369,83,82,62,7.5,7.3,6.8,6.9,1121,7.125
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,HS,114,384,394,388,32,86,79,7.9,7.8,7.3,7.4,1166,7.6
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,HS,27,353,315,371,44,96,67,7.4,7.4,6.8,7.1,1039,7.175000000000001
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),MS/HS,113,438,455,440,37,87,87,7.5,7.6,7.2,7.3,1333,7.4
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,HS,86,373,412,365,16,68,34,7.9,7.6,7.3,7.1,1150,7.475
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,MS/HS,59,405,391,394,38,66,74,8.1,8.2,7.7,7.8,1190,7.949999999999999
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",HS,79,382,393,382,14,88,66,7.5,7.2,6.7,7.1,1157,7.125
10X243,WEST BRONX ACADEMY FOR THE FUTURE,MS/HS,26,382,406,370,20,92,75,7.4,7.4,6.9,7,1158,7.175000000000001
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,HS,52,304,356,302,66,96,93,8.3,7.9,7.6,7.8,962,7.900000000000001
10X284,BRONX SCHOOL OF LAW AND FINANCE,HS,54,402,395,385,24,92,66,7.8,8.2,7.6,7.5,1182,7.775
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,MS/HS,49,300,333,301,61,89,87,8.4,8.3,8.2,8.4,934,8.325000000000001
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),MS/HS,111,390,408,383,34,93,85,7.5,7.2,7,7.3,1181,7.25
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),HS,61,392,401,387,71,100,88,8.3,8.2,7.9,8.2,1180,8.149999999999999
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),HS,38,343,356,330,19,90,72,8.7,8.6,8.3,8.3,1029,8.475
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,HS,57,370,371,365,25,63,57,7.7,7.1,7,7,1106,7.2
10X434,BELMONT PREPARATORY HIGH SCHOOL,HS,51,404,418,400,42,83,85,7.6,7.3,6.9,7.5,1222,7.324999999999999
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,HS,48,355,350,372,33,62,71,8.2,7.7,7.7,8.1,1077,7.924999999999999
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,HS,63,367,385,367,28,94,65,8.5,8.5,8.1,8,1119,8.275
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,HS,65,366,364,352,45,100,91,8.1,8,7.5,7.7,1082,7.825
10X440,DEWITT CLINTON HIGH SCHOOL,HS,443,419,426,410,7,54,58,7.3,7,6.9,6.2,1255,6.8500000000000005
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",HS,52,423,420,427,34,97,81,8,7.9,7.6,7.8,1270,7.825
10X445,BRONX HIGH SCHOOL OF SCIENCE,HS,731,632,688,649,32,88,95,7.8,7.3,7.3,7.7,1969,7.5249999999999995
10X475,JOHN F. KENNEDY HIGH SCHOOL,HS,109,351,362,339,11,100,70,6.9,6.6,6.4,6.8,1052,6.675
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,HS,99,414,435,414,61,93,97,8.2,8.1,7.7,8,1263,7.999999999999999
10X546,BRONX THEATRE HIGH SCHOOL,HS,68,348,362,354,98,93,90,8.6,8.5,8.3,8.3,1064,8.425
10X549,DISCOVERY HIGH SCHOOL,HS,55,372,379,364,10,73,48,8.1,8.2,7.5,8,1115,7.949999999999999
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,HS,73,362,382,356,14,70,72,6.8,6.4,6.2,6.1,1100,6.375
10X667,GRACE DODGE YABC,YABC,10,350,356,317,30,100,93,8.6,8.7,8.2,8.3,1023,8.45
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,HS,92,636,648,636,36,100,96,8.6,8.3,8.1,8.8,1920,8.45
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,HS,74,370,381,382,20,91,88,8.1,7.7,6.8,8,1133,7.65
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,HS,46,400,357,390,14,92,40,7.9,7.8,7.4,7.4,1147,7.625
11X265,BRONX LAB SCHOOL,HS,81,377,391,367,38,88,90,7.9,7.9,7.4,7.5,1135,7.675000000000001
