dbn,school_name,school_type,n_test_takers,reading,math,writing,parent_response_rate,teacher_response_rate,student_response_rate,academic_expectations,communication,engagement,safety_and_respect,SAT_score,total_satisfaction
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,HS,74,406,406,384,18,97,73,7.6,7.6,7.3,7.5,1196,7.5
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",MS/HS,68,439,445,432,78,91,100,7.2,6.2,5.8,7.2,1316,6.6
29Q248,QUEENS PREPARATORY ACADEMY,HS,52,360,380,359,26,96,83,7,6.7,6.3,6.8,1099,6.7
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,MS/HS,46,401,397,375,56,83,88,7.9,7.8,7.3,7.3,1173,7.575
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,HS,49,402,398,402,23,96,89,8.2,8.2,7.8,7.5,1202,7.925
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,HS,59,436,427,424,30,100,90,8,7.8,7.5,7.4,1287,7.675000000000001
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,MS/HS,43,370,367,363,7,87,75,8.5,8.4,7.9,7.7,1100,8.125
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",HS,78,400,426,394,66,90,81,7,6.4,6.2,6.3,1220,6.4750000000000005
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",HS,52,385,377,377,4,85,62,7.2,6.9,6.3,6.4,1139,6.700000000000001
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",HS,49,379,414,359,18,100,76,6.9,6.5,6.2,6.3,1152,6.4750000000000005
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,HS,62,393,381,377,53,86,85,8.1,7.9,7.6,7.2,1151,7.7
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,HS,98,410,440,405,79,100,98,8.9,9,8.5,8.6,1255,8.75
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,HS,395,414,449,412,21,64,58,7.1,6.7,6.7,7,1275,6.875
30Q450,LONG ISLAND CITY HIGH SCHOOL,HS,392,403,420,395,24,63,73,7.7,7.5,7.4,7,1218,7.4
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,HS,174,504,496,494,37,93,66,7.5,7.4,7.2,8,1494,7.525
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,HS,148,407,434,398,32,96,84,7.9,7.9,7.6,7.6,1239,7.75
30Q555,NEWCOMERS HIGH SCHOOL,HS,143,323,475,329,33,74,91,7.8,7.1,7.2,8,1127,7.5249999999999995
30Q575,ACADEMY OF AMERICAN STUDIES,HS,135,487,492,491,37,90,98,8,8,7.7,8,1470,7.925
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,MS/HS,61,524,568,544,37,72,98,8.5,7.6,7.2,8.8,1636,8.025
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,HS,137,452,451,450,61,91,95,8.1,7.8,7.5,8.3,1353,7.925
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,HS,61,398,412,385,45,84,96,7.9,7.8,7.3,7.7,1195,7.675
31R080,THE MICHAEL J. PETRIDES SCHOOL,ES/MS/HS,107,472,488,466,58,85,97,8.5,8.3,8.2,8.2,1426,8.3
31R440,NEW DORP HIGH SCHOOL,HS,391,424,437,416,30,99,86,8,8.1,7.7,7.3,1277,7.775
31R445,PORT RICHMOND HIGH SCHOOL,HS,271,424,438,417,19,58,81,7.8,7.7,7.4,7.3,1279,7.55
31R450,CURTIS HIGH SCHOOL,HS,375,437,435,429,55,93,86,7.8,7.5,7.5,7,1301,7.45
31R455,TOTTENVILLE HIGH SCHOOL,HS,807,462,486,470,27,92,85,8.4,8.2,8.1,7.8,1418,8.125
31R460,SUSAN E. WAGNER HIGH SCHOOL,HS,535,455,474,459,45,97,84,8.1,7.9,7.8,7.5,1388,7.825
31R470,CONCORD HIGH SCHOOL,HST,10,466,455,414,45,100,82,9,9,8.6,8.9,1335,8.875
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,HS,94,416,422,397,35,93,88,8,7.8,7.5,7.4,1235,7.675000000000001
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,HS,227,635,682,636,90,98,99,8.9,8.6,8.4,8.7,1953,8.649999999999999
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,YABC,10,405,375,370,3,89,69,8.8,8.8,8.5,8.5,1150,8.65
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,HS,50,380,366,352,66,96,91,8.2,8.1,7.8,7.8,1098,7.975
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,HS,88,384,409,361,48,68,85,8.2,8.1,7.6,8.1,1154,8
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,HS,75,348,353,334,49,91,84,8.5,8.6,8.1,7.7,1035,8.225000000000001
32K552,ACADEMY OF URBAN PLANNING,HS,67,342,364,354,33,100,69,7.7,7.9,7.2,7.2,1060,7.5
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,MS/HS,39,428,465,422,38,86,91,9.3,9.3,8.9,9.3,1315,9.2
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,HS,23,347,358,350,27,63,68,7.7,7.6,7.2,7.6,1055,7.525
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,HST,24,359,317,358,19,96,57,7.7,7.2,7.2,8,1034,7.525
75Q811,P.S. Q811,D75,32,429,444,433,27,48,91,8.3,8.2,8,8.4,1306,8.225
